Adım 230: Hücre(3,5) sıfırlandı.
Adım 231: Hücre(3,5) = 4
Adım 232: Hücre(3,7) = 1
Adım 232: Hücre(3,7) sıfırlandı.
Adım 233: Hücre(3,7) = 2
Adım 234: Hücre(3,8) = 1
Adım 235: Hücre(4,0) = 6
Adım 236: Hücre(4,1) = 2
Adım 237: Hücre(4,2) = 4
Adım 237: Hücre(4,2) sıfırlandı.
Adım 237: Hücre(4,1) sıfırlandı.
Adım 237: Hücre(4,0) sıfırlandı.
Adım 237: Hücre(3,8) sıfırlandı.
Adım 237: Hücre(3,7) sıfırlandı.
Adım 237: Hücre(3,5) sıfırlandı.
Adım 237: Hücre(3,4) sıfırlandı.
Adım 237: Hücre(3,3) sıfırlandı.
Adım 237: Hücre(3,2) sıfırlandı.
Adım 237: Hücre(3,1) sıfırlandı.
Adım 238: Hücre(3,1) = 9
Adım 239: Hücre(3,2) = 2
Adım 240: Hücre(3,3) = 3
Adım 241: Hücre(3,4) = 4
Adım 242: Hücre(3,5) = 1
Adım 243: Hücre(3,7) = 8
Adım 243: Hücre(3,7) sıfırlandı.
Adım 243: Hücre(3,5) sıfırlandı.
Adım 243: Hücre(3,4) sıfırlandı.
Adım 244: Hücre(3,4) = 6
Adım 245: Hücre(3,5) = 1
Adım 246: Hücre(3,7) = 8
Adım 246: Hücre(3,7) sıfırlandı.
Adım 246: Hücre(3,5) sıfırlandı.
Adım 247: Hücre(3,5) = 4
Adım 248: Hücre(3,7) = 1
Adım 249: Hücre(3,8) = 8
Adım 250: Hücre(4,0) = 6
Adım 251: Hücre(4,1) = 3
Adım 252: Hücre(4,2) = 4
Adım 253: Hücre(4,4) = 2
Adım 253: Hücre(4,4) sıfırlandı.
Adım 253: Hücre(4,2) sıfırlandı.
Adım 254: Hücre(4,2) = 8
Adım 255: Hücre(4,4) = 2
Adım 256: Hücre(4,6) = 4
Adım 256: Hücre(4,6) sıfırlandı.
Adım 256: Hücre(4,4) sıfırlandı.
Adım 256: Hücre(4,2) sıfırlandı.
Adım 256: Hücre(4,1) sıfırlandı.
Adım 256: Hücre(4,0) sıfırlandı.
Adım 256: Hücre(3,8) sıfırlandı.
Adım 256: Hücre(3,7) sıfırlandı.
Adım 257: Hücre(3,7) = 8
Adım 258: Hücre(3,8) = 1
Adım 259: Hücre(4,0) = 6
Adım 260: Hücre(4,1) = 3
Adım 261: Hücre(4,2) = 4
Adım 262: Hücre(4,4) = 2
Adım 262: Hücre(4,4) sıfırlandı.
Adım 262: Hücre(4,2) sıfırlandı.
Adım 263: Hücre(4,2) = 8
Adım 264: Hücre(4,4) = 2
Adım 265: Hücre(4,6) = 4
Adım 265: Hücre(4,6) sıfırlandı.
Adım 265: Hücre(4,4) sıfırlandı.
Adım 265: Hücre(4,2) sıfırlandı.
Adım 265: Hücre(4,1) sıfırlandı.
Adım 265: Hücre(4,0) sıfırlandı.
Adım 265: Hücre(3,8) sıfırlandı.
Adım 265: Hücre(3,7) sıfırlandı.
Adım 265: Hücre(3,5) sıfırlandı.
Adım 265: Hücre(3,4) sıfırlandı.
Adım 265: Hücre(3,3) sıfırlandı.
Adım 266: Hücre(3,3) = 6
Adım 267: Hücre(3,4) = 4
Adım 268: Hücre(3,5) = 1
Adım 269: Hücre(3,7) = 3
Adım 270: Hücre(3,8) = 8
Adım 271: Hücre(4,0) = 6
Adım 272: Hücre(4,1) = 3
Adım 273: Hücre(4,2) = 4
Adım 274: Hücre(4,4) = 2
Adım 274: Hücre(4,4) sıfırlandı.
Adım 274: Hücre(4,2) sıfırlandı.
Adım 275: Hücre(4,2) = 8
Adım 276: Hücre(4,4) = 2
Adım 277: Hücre(4,6) = 4
Adım 278: Hücre(4,8) = 1
Adım 278: Hücre(4,8) sıfırlandı.
Adım 278: Hücre(4,6) sıfırlandı.
Adım 278: Hücre(4,4) sıfırlandı.
Adım 278: Hücre(4,2) sıfırlandı.
Adım 278: Hücre(4,1) sıfırlandı.
Adım 278: Hücre(4,0) sıfırlandı.
Adım 278: Hücre(3,8) sıfırlandı.
Adım 278: Hücre(3,7) sıfırlandı.
Adım 279: Hücre(3,7) = 8
Adım 280: Hücre(3,8) = 3
Adım 281: Hücre(4,0) = 6
Adım 282: Hücre(4,1) = 3
Adım 283: Hücre(4,2) = 4
Adım 284: Hücre(4,4) = 2
Adım 284: Hücre(4,4) sıfırlandı.
Adım 284: Hücre(4,2) sıfırlandı.
Adım 285: Hücre(4,2) = 8
